"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\passwords.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\en\validation.php", "PHP", 0, 0, 136, 0, 0, 0, 0, 30, 9, 175
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\auth.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\pagination.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\passwords.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 10, 4, 23
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\es\validation.php", "PHP", 0, 0, 113, 0, 0, 0, 0, 31, 9, 153
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\ar\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\bg\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\bn\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\cs\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\da\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\de\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\en\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\es\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fa\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fi\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\fr\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\hi\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\lang\vendor\backup\id\notifications.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
