Date : 2023-10-10 17:49:42
Directory : c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors
Total : 334 files,  937884 codes, 15860 comments, 6996 blanks, all 960740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\ValidateSignature.php                                     | PHP        |          8 |         11 |          4 |         23 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\VerifyCsrfToken.php                                       | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\middlaware_ventas.php                                     | PHP        |         48 |         41 |         19 |        108 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Http\Middleware\valitacion_contrasenas.php                                | PHP        |         32 |          9 |          7 |         48 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\ActualizarProductosImport.php                                     | PHP        |         21 |          9 |          8 |         38 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\ActualizarUbicacionImport.php                                     | PHP        |         31 |          1 |         11 |         43 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\DeshabilitarProducto.php                                          | PHP        |         21 |         12 |          6 |         39 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\ProductoImport.php                                                | PHP        |         58 |         33 |         25 |        116 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\ProductosImport.php                                               | PHP        |         43 |         14 |          6 |         63 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Imports\VerificadorImport.php                                             | PHP        |         49 |        107 |         39 |        195 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\app\Listeners\DisminuirProductosListener.php                                  | PHP        |         17 |          8 |         11 |         36 |
